"CODICE_EP,""NOME"",""URL"",""COD_IND"",""FAMIGLIA"""
"1.1.a.1,""1.1.a.1 Numero di studenti 2025/206"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/1.1.a/1.1.a.1/"",,"
"1.1.a.2,""1.1.a.2 Numero di studenti con disabilita' certificata a.s. 2024/2025"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/1.1.a/1.1.a.2/"",,"
"1.1.a.3,""1.1.a.3. Numero di studenti a rischio di disturbo specifico dell'apprendimento a.s. 2024/2025"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/1.1.a/1.1.a.3/"",,"
"1.1.a.4,""1.1.a.4. Studenti con genitori disoccupati"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/1.1.a/1.1.a.4/"",,"
"1.1.b.1,""1.1.b.1. Indice escs - livello mediano"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/1.1.b/1.1.b.1/"",,"
"1.1.b.2,""1.1.b.2. Indice escs - percentuale di variabilitÃ "",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/1.1.b/1.1.b.2/"",,"
"1.3.a.1,""1.3.a.1. Numero di edifici della scuola"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/1.3.a/1.3.a.1/"",,"
"1.3.b.1,""1.3.b.1. Percentuale di edifici con scale di sicurezza esterne e porte antipanico"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/1.3.b/1.3.b.1/"",,"
"1.3.b.2,""1.3.b.2. Percentuale di edifici con elementi per il superamento delle barriere architettoniche"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/1.3.b/1.3.b.2/"",,"
"1.4.a.1,""1.4.a.1. DS - Tipo di incarico"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/1.4.a/1.4.a.1/"",,"
"1.4.a.2,""1.4.a.2. DS - Anni di esperienza"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/1.4.a/1.4.a.2/"",,"
"1.4.a.3,""1.4.a.3. DS - Anni di servizio nella scuola"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/1.4.a/1.4.a.3/"",,"
"1.4.b.1,""1.4.b.1. Docenti in servizio per tipo di contratto"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/1.4.b/1.4.b.1/"",,"
"1.4.b.2,""1.4.b.2. Docenti a tempo indeterminato per fasce d'etÃ "",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/1.4.b/1.4.b.2/"",,"
"1.4.b.3,""1.4.b.3. Docenti a tempo indeterminato per anni di servizio"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/1.4.b/1.4.b.3/"",,"
"1.4.b.4,""1.4.b.4. Numero medio di giorni di assenza annuo dei docenti a tempo indeterminato"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/1.4.b/1.4.b.4/"",,"
"2.1.a.1,""2.1.a.1 Alunni/studenti ammessi alla classe successiva"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/2.1.a/2.1.a.1/"",,"
"2.1.a.2,""2.1.a.2 Studenti con sospensione del giudizio"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/2.1.a/2.1.a.2/"",,"
"2.1.a.3,""2.1.a.3 Alunni/studenti diplomati per votazione conseguita all'Esame di Stato"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/2.1.a/2.1.a.3/"",,"
"2.1.b.1,""2.1.b.1 Alunni/studenti che hanno interrotto la frequenza in corso d'anno"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/2.1.b/2.1.b.1/"",,"
"2.1.b.2,""2.1.b.2 Alunni/studenti trasferiti - in entrata - in corso d'anno"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/2.1.b/2.1.b.2/"",,"
"2.1.b.3,""2.1.b.3 Alunni/studenti trasferiti - in uscita - in corso d'anno"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/2.1.b/2.1.b.3/"",,"
"2.2.a.1,""2.2.a.1 Punteggio nelle prove e differenze rispetto a scuole con ESCS simile"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/2.2.a/2.2.a.1/"",,"
"2.2.a.2,""2.2.a.2 Percentuale di alunni/studenti collocati nei diversi livelli di competenza"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/2.2.a/2.2.a.2/"",,"
"2.2.b.2,""2.2.b.2 VariabilitÃ  dei punteggi tra le classi e dentro le classi"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/2.2.b/2.2.b.2/"",,"
"2.2.c.1,""2.2.c.1 Effetto della scuola sui risultati degli alunni/studenti nelle prove"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/2.2.c/2.2.c.1/"",,"
"2.4.a.4,""2.4.a.4 Punteggio delle prove INVALSI delle classi di ultimo anno di secondaria di II grado (studenti che due o tre anni prima erano al II anno di secondaria di II grado)"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/2.4.a/2.4.a.4/"",,"
"2.4.b.1,""2.4.b.1 Studenti diplomati nella scuola secondaria di II grado che si sono immatricolati all'UniversitÃ "",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/2.4.b/2.4.b.1/"",,"
"2.4.b.2,""2.4.b.2 Distribuzione percentuale degli studenti immatricolati all'UniversitÃ  per area disciplinare"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/2.4.b/2.4.b.2/"",,"
"2.4.c.1,""2.4.c.1 Crediti conseguiti dai diplomati nel I anno di UniversitÃ "",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/2.4.c/2.4.c.1/"",,"
"2.4.c.2,""2.4.c.2 Crediti conseguiti dai diplomati nel II anno di UniversitÃ "",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/2.4.c/2.4.c.2/"",,"
"2.4.d.1,""2.4.d.1 Percentuale di diplomati inseriti nel mondo del lavoro"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/2.4.d/2.4.d.1/"",,"
"2.4.d.2,""2.4.d.2 Distribuzione dei diplomati per tipo di contratto"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/2.4.d/2.4.d.2/"",,"
"2.4.d.3,""2.4.d.3 Distribuzione dei diplomati per settore di attivitÃ  economica"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/2.4.d/2.4.d.3/"",,"
"2.4.d.4,""2.4.d.4 Distribuzione dei diplomati per qualifica di attivitÃ  economica"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/2.4.d/2.4.d.4/"",,"
"2.5.a.1,""2.5.a.1 Percezione dei docenti sul benessere di bambini, alunni e studenti a scuola"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/2.5.a/2.5.a.1/"",,"
"3.1.a.1,""3.1.a.1 Aspetti del curricolo"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.1.a/3.1.a.1/"",""3.1.a"",""descrittoriRav"""
"3.1.b.1,""3.1.b.1 Aspetti della progettazione educativo-didattica"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.1.b/3.1.b.1/"",""3.1.b"",""descrittoriRav"""
"3.1.c.1,""3.1.c.1 Tipo di prove strutturate"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.1.c/3.1.c.1/"",""3.1.c"",""descrittoriRav"""
"3.1.d.1,""3.1.d.1 Tipo di valutazione dei Percorsi per le competenze trasversali e per l'orientamento (PCTO)"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.1.d/3.1.d.1/"",""3.1.d"",""descrittoriRav"""
"3.1.e.1,""3.1.e.1 Aspetti rilevati attraverso strumenti di rilevazione formalizzati"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/3.1.e/3.1.e.1/"",,"
"3.2.a.1,""3.2.a.1 (scuola primaria e secondaria di I grado) ModalitÃ  orarie per l'ampliamento dell'offerta formativa"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.2.a/3.2.a.1/"",""3.2.a"",""descrittoriRav"""
"3.2.a.2,""3.2.a.2 (scuola primaria e secondaria di I grado) ModalitÃ  orarie per interventi di recupero, consolidamento, potenziamento"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.2.a/3.2.a.2/"",""3.2.a"",""descrittoriRav"""
"3.2.b.1,""3.2.b.1 Metodologie didattiche utilizzate dai docenti"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/3.2.b/3.2.b.1/"",,"
"3.2.b.2,""3.2.b.2 Organizzazione delle attivitÃ  educativo-didattiche"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/3.2.b/3.2.b.2/"",,"
"3.2.c.1,""3.2.c.1 Provvedimenti adottati nel caso di episodi problematici"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.2.c/3.2.c.1/"",""3.2.c"",""descrittoriRav"""
"3.2.d.1,""3.2.d.1 Azioni per il benessere di bambini, alunni e studenti"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.2.d/3.2.d.1/"",""3.2.d"",""descrittoriRav"""
"3.2.d.2,""3.2.d.2 Clima relazionale percepito dai docenti"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/3.2.d/3.2.d.2/"",,"
"3.3.a.1,""3.3.a.1 Tipo di azioni realizzate per l'inclusione"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.3.a/3.3.a.1/"",""3.3.a"",""descrittoriRav"""
"3.3.a.2,""3.3.a.2 ModalitÃ  di lavoro per l'inclusione"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.3.a/3.3.a.2/"",""3.3.a"",""descrittoriRav"""
"3.3.a.3,""3.3.a.3 Strumenti per l'inclusione"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.3.a/3.3.a.3/"",""3.3.a"",""descrittoriRav"""
"3.3.b.1,""3.3.b.1 Tipo di azioni realizzate per il recupero"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.3.b/3.3.b.1/"",""3.3.b"",""descrittoriRav"""
"3.3.b.2,""3.3.b.2 Numero di corsi di recupero attivati"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/3.3.b/3.3.b.2/"",,"
"3.3.b.3,""3.3.b.3 Numero medio di ore per corso di recupero"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/3.3.b/3.3.b.3/"",,"
"3.3.c.1,""3.3.c.1 Tipo di azioni realizzate per il potenziamento"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.3.c/3.3.c.1/"",""3.3.c"",""descrittoriRav"""
"3.4.a.1,""3.4.a.1 Tipo di azioni realizzate per la continuitÃ "",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.4.a/3.4.a.1/"",""3.4.a"",""descrittoriRav"""
"3.4.b.1,""3.4.b.1 Tipo di azioni realizzate per l'orientamento"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.4.b/3.4.b.1/"",""3.4.b"",""descrittoriRav"""
"3.4.c.2,""3.4.c.2 Corrispondenza tra consigli di orientamento e scelte effettuate"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/3.4.c/3.4.c.2/"",,"
"3.4.c.3,""3.4.c.3 Ammessi al II anno di scuola secondaria di II grado"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/3.4.c/3.4.c.3/"",,"
"3.4.d.1,""3.4.d.1 ModalitÃ  di realizzazione dei percorsi"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.4.d/3.4.d.1/"",""3.4.d"",""descrittoriRav"""
"3.4.d.2,""3.4.d.2 Tipo di soggetti coinvolti nella realizzazione dei percorsi"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.4.d/3.4.d.2/"",""3.4.d"",""descrittoriRav"""
"3.4.d.3,""3.4.d.3 Presenza di attivitÃ  per lo sviluppo delle competenze chiave trasversali"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.4.d/3.4.d.3/"",""3.4.d"",""descrittoriRav"""
"3.5.a.1,""3.5.a.1 Tipo di monitoraggio"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.5.a/3.5.a.1/"",""3.5.a"",""descrittoriRav"""
"3.5.b.1,""3.5.b.1 Grado di partecipazione al modello organizzativo"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.5.b/3.5.b.1/"",""3.5.b"",""descrittoriRav"""
"3.5.c.1,""3.5.c.1 Numero di progetti e spesa"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.5.c/3.5.c.1/"",""3.5.c"",""descrittoriRav"""
"3.5.c.2,""3.5.c.2 Obiettivi formativi dei tre progetti prioritari"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.5.c/3.5.c.2/"",""3.5.c"",""descrittoriRav"""
"3.6.a.1,""3.6.a.1 ModalitÃ  di rilevazione dei fabbisogni formativi dei docenti"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.6.a/3.6.a.1/"",""3.6.a"",""descrittoriRav"""
"3.6.a.2,""3.6.a.2 Numero di percorsi formativi per i docenti per tematica"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.6.a/3.6.a.2/"",""3.6.a"",""descrittoriRav"""
"3.6.a.3,""3.6.a.3 Livello di erogazione dei percorsi formativi per i docenti"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.6.a/3.6.a.3/"",""3.6.a"",""descrittoriRav"""
"3.6.a.4,""3.6.a.4 Tipo di finanziamento dei percorsi formativi per i docenti"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.6.a/3.6.a.4/"",""3.6.a"",""descrittoriRav"""
"3.6.a.5,""3.6.a.5 Docenti coinvolti nei percorsi formativi per tematica"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.6.a/3.6.a.5/"",""3.6.a"",""descrittoriRav"""
"3.6.b.1,""3.6.b.1 ModalitÃ  di rilevazione dei fabbisogni formativi del personale ATA"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.6.b/3.6.b.1/"",""3.6.b"",""descrittoriRav"""
"3.6.b.2,""3.6.b.2 Numero di percorsi formativi per il personale ATA per tematica"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.6.b/3.6.b.2/"",""3.6.b"",""descrittoriRav"""
"3.6.b.3,""3.6.b.3 Livello di erogazione dei percorsi formativi per il personale ATA"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.6.b/3.6.b.3/"",""3.6.b"",""descrittoriRav"""
"3.6.b.4,""3.6.b.4 Personale ATA coinvolto nei percorsi formativi per tematica"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.6.b/3.6.b.4/"",""3.6.b"",""descrittoriRav"""
"3.6.c.1,""3.6.c.1 Tipo di argomento dei gruppi di lavoro"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.6.c/3.6.c.1/"",""3.6.c"",""descrittoriRav"""
"3.6.c.2,""3.6.c.2 Docenti partecipanti a gruppi di lavoro per argomento"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.6.c/3.6.c.2/"",""3.6.c"",""descrittoriRav"""
"3.6.d.1,""3.6.d.1 AttivitÃ  di collaborazione tra docenti"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriNonQs/loadDsc/3.6.d/3.6.d.1/"",,"
"3.6.e.1,""3.6.e.1 Archivio per la raccolta dei curricula e delle esperienze formative e professionali del personale"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.6.e/3.6.e.1/"",""3.6.e"",""descrittoriRav"""
"3.7.a.1,""3.7.a.1 Partecipazione a reti di scuole"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.7.a/3.7.a.1/"",""3.7.a"",""descrittoriRav"""
"3.7.a.2,""3.7.a.2 Numero di reti di cui la scuola Ã¨ capofila"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.7.a/3.7.a.2/"",""3.7.a"",""descrittoriRav"""
"3.7.a.3,""3.7.a.3 Numero di reti per soggetto finanziatore"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.7.a/3.7.a.3/"",""3.7.a"",""descrittoriRav"""
"3.7.a.4,""3.7.a.4 Numero di reti per principale motivo di partecipazione"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.7.a/3.7.a.4/"",""3.7.a"",""descrittoriRav"""
"3.7.b.1,""3.7.b.1 Numero di accordi formalizzati che la scuola ha in essere"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.7.b/3.7.b.1/"",""3.7.b"",""descrittoriRav"""
"3.7.b.2,""3.7.b.2 Soggetti esterni con cui la scuola ha in essere accordi formalizzati"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.7.b/3.7.b.2/"",""3.7.b"",""descrittoriRav"""
"3.7.b.3,""3.7.b.3 Tipo di oggetto degli accordi formalizzati"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.7.b/3.7.b.3/"",""3.7.b"",""descrittoriRav"""
"3.7.c.1,""3.7.c.1 Votanti effettivi alle elezioni del Consiglio d'Istituto"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.7.c/3.7.c.1/"",""3.7.c"",""descrittoriRav"""
"3.7.c.2,""3.7.c.2 Livello di partecipazione dei genitori nelle attivitÃ  della scuola"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.7.c/3.7.c.2/"",""3.7.c"",""descrittoriRav"""
"3.7.d.1,""3.7.d.1 ModalitÃ  di coinvolgimento dei genitori da parte della scuola"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.7.d/3.7.d.1/"",""3.7.d"",""descrittoriRav"""
"3.7.e.1,""3.7.e.1 Partecipazione finanziaria dei genitori attraverso contributi volontari"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.7.e/3.7.e.1/"",""3.7.e"",""descrittoriRav"""
"3.7.e.2,""3.7.e.2 Importo medio del contributo volontario versato per studente"",""https://snv.pubblica.istruzione.it/SistemaNazionaleValutazione/mvc/descrittoriRav/loadDsc/3.7.e/3.7.e.2/"",""3.7.e"",""descrittoriRav"""
